Dialogue ID,Turn,Teacher,Student,Correct,Prob,KC Probs,Dialogue Acc.,KCs,Notes
1,5,Let's think about an easier number first...it might help. What is 100-20?,80,true,--,--,0.5714,"1) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,6,"Great, so which digits changed when you did that sum?",the tens and then there were no hundreds left,true,0.8635,0.8635,0.5714,"1) Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,7,"Yes, great!  So the hundreds and the tens changed. So, do you think this would be the same for 10,000 or if you're not sure we could look at 1000 first?",yes,na,--,--,0.5714,None,
1,8,"So, what is 1000-80?",200,False,0.7679,0.7679,0.5714,"1) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,9,"I'm still just taking tens away...in fact I meant to say 1000-20, so have a go at 1000-20.",800,False,0.7255,0.7255,0.5714,"1) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,10,"1000-200=800, but we're doing 1000-20, have another go?",oh that would be 980,true,0.6999,0.6999,0.5714,"1) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,11,"Yes, great!  Well done! and then getting to the question above, what is 10,000-20?",9800,False,0.6375,0.6375,0.5714,"1) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,12,"Nearly...you've taken away 200, but you only need to take away 20.",oh that is 9980,true,0.7254,0.7254,0.5714,"1) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,13,"Yes, great!  You can probably see a pattern emerging.  But now, you know the answer to your question above, which answer is it?",is the answer d,true,0.7810,"0.7934, 0.7687",0.5714,"1) Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Fluently add and subtract multi-digit whole numbers using the standard algorithm.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
1,14,"Yes!  Great work, Zara!  I'll leave you to enter your answer now if you're happy with this?",yes,na,--,--,0.5714,None,
1,15,:-) Well done!,,na,--,--,0.5714,None,
,,,,,,,,,
2,1,Hello Hugo 😀😀😀. How can I help?!,"Hi I was just wondering if I could have some guidance on this question, please :)",na,--,--,0.4000,None,
2,2,Of course 😊👍,Thanks,na,--,--,0.4000,None,
2,3,So Edward eats 1/3 of 2/3 😀. Does that make sense?,Yes 👍,true,--,--,0.4000,"1) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
2,4,"Great stuff, now in maths if I wanted to find for example 1/3 of something 😊. What mathematical operation would I do? Would I add, subtract, divide or multiply? 🧠💡",For that it would be subtract ? Right ?,False,0.7845,0.7845,0.4000,"1) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
2,5,"Not quite, for example 1/2 of 10 = 5. So what have we done with the 1/2 and 10? Can you spot it? 😀",10 divided by 2,False,0.6989,0.6989,0.4000,"1) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
2,6,"Yes, totally correct but I'm talking about the 10 and 1/2... 1/2 ___ 10 = 5. What needs to go in the gap? 🧠. If you're not sure, just say in the chat 👍",I’m not really sure sorry :( 😔,False,0.6935,0.6935,0.4000,"1) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
2,7,"It's OK, it would be multiply 😀💡. 1/2 x 10 = 5. So that's how we find 1/3 of something we do 1/3 x 😊. So for this question we need 1/3 of 2/3 so which sum would we do? 🧠💡",A times,true,0.6184,0.6184,0.4000,"1) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
2,8,EXACTLY ✅✅✅,1/3 x 2/3,na,--,--,0.4000,None,
2,9,So which answer letter is correct?!,B,true,0.7817,0.7817,0.4000,"1) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
2,10,Spot on Hugo 😀👍. WELL DONE! Does this question make a little bit more sense?!,Thanks a lot for the help. Yes it does. :),na,--,--,0.4000,None,
2,11,You are super welcome 😊. Great to hear! I'll pass you back to eedi 🤖✅. Bye for now 😀👋,Thanks :),na,--,--,0.4000,None,
,,,,,,,,,
3,1,Hi David 👋👋👋. How can I help?!,i dont understand. hello,na,--,--,1.0000,None,
3,2,OK so for this one we need to fill in the blanks with each option until we find the true statement 😁😁😁. So A 6 gives us... 8466 > 8466. Is this true?,no,true,--,--,1.0000,"1) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
2) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
3,3,Exactly they are the same. So now we try B 7. 8467 > 8476. Is this true?,no,true,0.8427,"0.8540, 0.8313",1.0000,"1) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
2) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
3,4,Great so now we try the next one. We need to put in 9. Can you do that for me...,8469 / 8496,true,0.8126,"0.8144, 0.8109",1.0000,"1) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
2) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
3,5,Great work 😁😁😁. So is 8469 greater than 8496? 🧠,no,true,0.6964,"0.6994, 0.6935",1.0000,"1) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",
3,6,Awesome ✅✅✅✅✅ so which one must be true?!,d,true,0.6488,"0.6430, 0.6546",1.0000,"1) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
2) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.",
3,7,PERFECT 👍👍👍👍👍👍👍. WELL DONE DAVID. Shall I pass you back to eedi? 🤖,yea,na,--,--,1.0000,None,
3,8,"Awesome, nice one for requesting help 😃👍and sorry for the delays! Bye for now 👋👋👋",,na,--,--,1.0000,None,
,,,,,,,,,
4,1,Hi Liam 😁👋. How can I help?!,Don't know the answer to it,na,--,--,0.7500,None,
4,2,OK so for this one we need to replace the blanks with each value. 😃👍. Let's start with A. 6. So that makes our expression be... 8466 > 8466. Is 8466 greater than 8466? 👀,No it is the same,true,--,--,0.7500,"1) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",
4,3,Great so that one isn't correct 😃😃😃 so now let's try B... So now we put 7s in the blanks giving... 8467 > 8476. Is 8467 greater than 8476? 👀,No. Less than,true,0.8612,"0.8677, 0.8548",0.7500,"1) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",
4,4,Great work,Thanks,na,--,--,0.7500,None,
4,5,Can you now put 9 into the blanks... What does that give? Type it in the chat 😃,I don't know it is to hard can you please explain it to me. Are you lair,False,0.6453,"0.6376, 0.6531",0.7500,"1) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",
4,6,So it says 846_ > 84_6. In the blanks you need to put the number 9. What would that give? 😁,8469>8496,true,0.5824,"0.5971, 0.5677",0.7500,"1) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",
4,7,PERFECT ✅✅✅✅✅✅,Thanks,na,--,--,0.7500,None,
4,8,So now we ask ourselves is 8469 greater than 8496? 😊,No less than. Is it d. D,true,0.8020,"0.7915, 0.8124",0.7500,"1) Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.
2) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",
4,9,Exactly 😁😁😁. Ready to go back to eedi? 🤖,Yes thank you so much milo you helped me so much thank,na,--,--,0.7500,None,
4,10,"You are super welcome, bye for now 👋👋👋",,na,--,--,0.7500,None,
,,,,,,,,,
5,1,Hi again Omar 😁👋. How can I help?!,I am stuck,na,--,--,0.7500,None,
5,2,"OK, let's take a look... 👀👀. Right for this one then, we need to use all the cards. And to make the smallest number would we put the biggest card in the units or the smallest?",Smallest,true,--,--,0.7500,"1) Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.
2) Read, write, and compare decimals to thousandths.",
5,3,Exactly so what is the smallest number from the cards?!,0,true,0.7734,0.7734,0.7500,"1) Read, write, and compare decimals to thousandths.",
5,4,Great so we can put 0 then what needs to come after the 0? 😊,1,true,0.8145,0.8145,0.7500,"1) Read, write, and compare decimals to thousandths.",
5,5,"Great, keep going with the numbers 😁👌",2 3 4 5 6 7 8 9,False,0.8780,0.8780,0.7500,"1) Read, write, and compare decimals to thousandths.",
5,6,You can only use the cards you've been given... 😊. 8 3 1 . 0. Place these from smallest to biggest...,0 . 1 3 8. So the answer is B,true,0.8018,0.8018,0.7500,"1) Read, write, and compare decimals to thousandths.",
5,7,"And there you go, that's the smallest number you can make from the cards 😁😁😁😁 WELL DONE!!! It is indeed ✅✅✅. Ready to go back to eedi?! 🤖. Awesome work!",Yes. Bye,na,--,--,0.7500,None,
5,8,"Of course, bye for now 👋👋👋👋",,na,--,--,0.7500,None,
,,,,,,,,,
6,1,hello! How are you?,good,na,--,--,0.6667,None,
6,2,great! would you like me to look at this question with you?,yes,na,--,--,0.6667,None,
6,3,"I'd love to 😀. Frist, what does descending mean?",gowin done,true,--,--,0.6667,1) Understand ordering and absolute value of rational numbers.,
6,4,"I agree, going down. and so look a the numbers we have   -5,  -8,  7,  -6. which is the highest?",-8,False,0.6175,0.6175,0.6667,1) Understand ordering and absolute value of rational numbers.,
6,5,"no, there are higher ones",7,true,0.6569,0.6569,0.6667,1) Understand ordering and absolute value of rational numbers.,
6,6,"Yes, 7 is the highest","7,-5,-6,-8",true,0.8465,0.8465,0.6667,1) Understand ordering and absolute value of rational numbers.,
6,7,"you can think about temperatures if you like, of these 4 numbers 7 is the warmest. aww perfect answer!! well done Merrick, great job!",yes,na,--,--,0.6667,None,
6,8,I guess I'll leave and let you continue 😀,gese good biy,na,--,--,0.6667,None,
6,9,👋😊,,na,--,--,0.6667,None,
,,,,,,,,,
7,1,"Hi again! Firstly, do you know what descending order is?",YEARH!,na,--,--,1.0000,None,
7,2,"Go on, what does that mean? 😄",Biggest to smallest,true,--,--,1.0000,1) Understand ordering and absolute value of rational numbers.,
7,3,Spot on!!👏🧠. From those number which number would be the biggest?,✅. Wich numbers,na,--,--,1.0000,None,
7,4,We have -5 -8 7 -6,Ohh -5,False,0.4415,0.4415,1.0000,1) Understand ordering and absolute value of rational numbers.,
7,5,"7 must be the biggest number as it is the only positive number. Try and imagine or even draw out a number line, 7 is the only number greater than 0. So from our answer options we can narrow it down do B or D as they both start with 7. Does that make sense so far?",✅,na,--,--,1.0000,None,
7,6,Excellent,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,na,--,--,1.0000,None,
7,7,Now we have these number left -5 -8 -6,✅,na,--,--,1.0000,None,
7,8,"From these number which one is the biggest? So try and think of a number line, which number is closest to 0?",-5,true,0.5757,0.5757,1.0000,1) Understand ordering and absolute value of rational numbers.,
7,9,"Well done Mariana, that points us to answer D! 7, -5, -6, -8",D✅,true,0.7438,0.7438,1.0000,1) Understand ordering and absolute value of rational numbers.,
7,10,Bye for now!😄👋🎉,Bye thanks for your help!,na,--,--,1.0000,None,
,,,,,,,,,
8,1,Hi Amelia! How can I help?,hi :) I'm not sure about this question - I don't understand it,na,--,--,0.5000,None,
8,2,Let's have a looK! Do you know what x > -35 means?,No.,true,--,--,0.5000,1) Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,
8,3,Okay! So the > sign means greater than. This means that any value of x needs to be greater than -35. So is -62 greater than -35?,yeah!...I think. 🤔🤔,False,0.7872,"0.7889, 0.7855",0.5000,"1) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
2) Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.",
8,4,"Think about your numbers on a number line, if a number is MORE negative, that means that it is smaller 🙂 so -62 is actually less than -35",so its minus 1 then? 😮,true,0.6761,"0.6796, 0.6726",0.5000,"1) Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
2) Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.",
8,5,Yes that's correct! Well done,oh! yeah,na,--,--,0.5000,None,
8,6,All of the other values are either less than -35 or the same 😊. would you like any more help? 😎,do you mean...um... what do you mean by that? 🤨. help,na,--,--,0.5000,None,
8,7,"So -36 is smaller than -35 so it can't be that, then -35 is the same as -35 so it is not greater than it 😊",about help*,na,--,--,0.5000,None,
8,8,ohh is there anything else I can help you with? 😊,no thanks:),na,--,--,0.5000,None,
8,9,Okay! I'll let you continue with the lesson 😊 have a nice evening!,,na,--,--,0.5000,None,
,,,,,,,,,
9,1,Hi how can I help?,hi i am a bi confused but i am embarrassed to say so,na,--,--,0.6667,None,
9,2,No worries Miriam let me help 😀,ok thanks. 👍,na,--,--,0.6667,None,
9,3,So we need an answer of 7. We can try each of the 4 options to see which one gives us that. 16 - (6+4) / 2,ok,na,--,--,0.6667,None,
9,4,First we do the brackets in BIDMAS or BODMAS. so we get 16 - 10 / 2,yes,na,--,--,0.6667,None,
9,5,Then we divide so 16 - 5. which gives us 11 so that won;t work. We need 7,Ok thanks,na,--,--,0.6667,None,
9,6,Next one is (16-6) +4 / 2. brackets first. So 10 + 4 /2. Then divide so 10 +2 = 12,i dont need help and more thank you have helped,na,--,--,0.6667,None,
9,7,"B doesn't work either. Ok no worries Miriam. Great, I'll leave and let you type your answer in. Good luck with the lesson!",hi i am comfused,na,--,--,0.6667,None,
9,8,Hi! How are you getting on with this question? 😊,i lthink i am strugling,na,--,--,0.6667,None,
9,9,So with this we want to work out each one and see if it gives us 7. Have you managed to check any?,a few the first 2,true,--,--,0.6667,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
9,10,"Great, what have you got for those?",42 and 54,False,0.6834,0.6834,0.6667,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
9,11,Let's take a look together. So 16- (6+4) / 2. which bit do we do first?,6+4,true,0.8248,0.8248,0.6667,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
9,12,Amazing. So we have 16-10 /2. what next?,/2,true,0.8323,0.8323,0.6667,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
9,13,Amazing! so 16 - 5. So that one gives us 11,ok,na,--,--,0.6667,None,
9,14,"Can you try B, what would we do?",oh i understand now thank you,na,--,--,0.6667,None,
9,15,No worries! Bye!,,na,--,--,0.6667,None,
,,,,,,,,,
10,1,hi how can I help?,help. i dont know what to do,na,--,--,0.6250,None,
10,2,oh sorry for the delay I hadn't spotted you'd replied. I'll read the questin and then can help,i read it,na,--,--,0.6250,None,
10,3,"oh so the order we do calculations matters, can you tell me if we add, subtract, multiply or divide first?",mulitply,true,--,--,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,4,"yes if there is multiplying or dividiing we do that before we do any adding or subtracting. so what about the calculation in A, what is the answer to that? in A there is adding and multiplying, which do we do first?",11x5,False,0.7360,0.7360,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,5,"oh I think you added first. but if there is adding and multiplying, which do we do first?",5x4+7,False,0.6816,0.6816,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,6,"yes when we have 7+4x5 we do the 4x5 first. DOn't rearrange the actual sum, but just work out the 4x5 part. so we then have 7+20",27,true,0.7951,0.7951,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,7,👍😀,😀👍,na,--,--,0.6250,None,
10,8,"we need to find which of B,C,D do'nt give the answer 27. so lwhich do you want to check next?",d,na,--,--,0.6250,None,
10,9,50-3x11. subtracting and timesing. do the timesing first,i did and its d,False,0.7778,0.7778,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,10,we do the 3x11 first and would get 33. so the sum becomes 60-33,27,true,0.8168,0.8168,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,11,"yes, so both A and D give the answer 27. we need to find one that gives a different answer. shall we check B or C next?",amir. yes,na,--,--,0.6250,None,
10,12,B or C?,b,na,--,--,0.6250,None,
10,13,"19+16/2. with adding and dividing you know we divide first, so work out the 16/2 part first",yes,na,--,--,0.6250,None,
10,14,what is the asnwer to 16 divided by 2?,8]. 8,true,0.7959,0.7959,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,15,yes it's 8 😊. so the calculation 19+16/2 has now become 19+8,27,true,0.7661,0.7661,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,16,yes it's 27! so we have checked A B and D and they all give the asnwer 27. so which one doesn't?,c,true,0.5970,0.5970,0.6250,"1) Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
10,17,yes it must be C! Do you want us to check it and see what answer it gives?,no,na,--,--,0.6250,None,
10,18,hahaha fair enough! I'll leave and let you type in C and continue your lesosn. Well done Amir! 👋😀,,na,--,--,0.6250,None,
,,,,,,,,,
11,0,--,Hello,na,--,--,0.5714,None,
11,1,Hi Tariq. Hi Tariq. Tariqa* sorry! How can I help?,I dont understand how i would work out this question,na,--,--,0.5714,None,
11,2,"let's have a look! okay when you estimate, you need to round everything to 1sf before doing the calculation. what is 4.12 to 1sf?",4,true,--,--,0.5714,1) Use place value understanding to round decimals to any place.,
11,3,good! now 18.3?,18,False,0.8029,0.8029,0.5714,1) Use place value understanding to round decimals to any place.,
11,4,"not quite, that is 2sf",is it 10,False,0.6520,0.6520,0.5714,1) Use place value understanding to round decimals to any place.,
11,5,"not quite, it'll be the 10s that are rounding though! is 18.3 closer to 10 or 20?",20,true,0.7273,0.7273,0.5714,1) Use place value understanding to round decimals to any place.,
11,6,good! now finally 0.226 to 1sf,0,False,0.6379,0.6379,0.5714,1) Use place value understanding to round decimals to any place.,
11,7,"not quite, it needs to be the first digit that isn't 0 that you round to",0.2,true,0.5954,0.5954,0.5714,1) Use place value understanding to round decimals to any place.,
11,8,"good, now lets put this all together! 4 x 20 / 0.2. do 4 x 20 first",80,true,0.8802,"0.8810, 0.8794",0.5714,"1) Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order (Order of Operations).)
2) Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",
11,9,now 80 divided by 0.2,400,true,0.5907,0.5907,0.5714,"1) Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",
11,10,good! that's your answer 🙂,Thank you,na,--,--,0.5714,None,
11,11,no problem! would you like any more help?,No thank you,na,--,--,0.5714,None,
11,12,okay! I'll let you get back on with the lesson 🙂 have a nice evening!,,na,--,--,0.5714,None,
,,,,,,,,,
12,1,Hi Darius :),helo,na,--,--,1.0000,None,
12,2,How can I help?,I dont know how many melons ill need,na,--,--,1.0000,None,
12,3,"That's ok! Let's take a look. So the larger stack has 60 grapefruits and the mini stack will have 24 grapefruits, so we need to use proportion. We can't divide by a whole number to get from 60 to 24 though. When this happens we need to instead find a factor that both 60 and 24 have in common. Can you think of one?",6,true,--,--,1.0000,"1) Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities. For example, “The ratio of wings to beaks in the bird house at the zoo was 2:1, because for every 2 wings there was 1 beak.” “For every vote candidate A received, candidate C received nearly three votes.”
2) Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",
12,4,Fab!!,thank,na,--,--,1.0000,None,
12,5,What would we have to divide 60 by to get to 6?,10,true,0.8916,"0.8966, 0.8867",1.0000,"1) Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities. For example, “The ratio of wings to beaks in the bird house at the zoo was 2:1, because for every 2 wings there was 1 beak.” “For every vote candidate A received, candidate C received nearly three votes.”
2) Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",
12,6,Great! So can you do that to the melons as well?,i think its18,true,0.7395,"0.7309, 0.7481",1.0000,"1) Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities. For example, “The ratio of wings to beaks in the bird house at the zoo was 2:1, because for every 2 wings there was 1 beak.” “For every vote candidate A received, candidate C received nearly three votes.”
2) Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",
